Nacionalidade;Categoria;Subcategoria;Dados 2011;Dados 2001;Percentagem (2011);Notas
França;POPULAÇÃO RESIDENTE;Total;14360;15359;100,00%;
França;POPULAÇÃO RESIDENTE;Homens;6644;7055;46,27%;
França;POPULAÇÃO RESIDENTE;Mulheres;7716;8304;53,73%;
França;POPULAÇÃO RESIDENTE;Idade média;36,6 anos;;;
França;MUNICÍPIOS (Top 5);Lisboa;1220;;8,50%;
França;MUNICÍPIOS (Top 5);Cascais;415;;2,89%;
França;MUNICÍPIOS (Top 5);Leiria;351;;2,44%;
França;MUNICÍPIOS (Top 5);Guimarães;323;;2,25%;
França;MUNICÍPIOS (Top 5);Braga;308;;2,14%;
França;ESTADO CIVIL;Solteiro;6385;;44,46%;
França;ESTADO CIVIL;Casado;6475;;45,09%;
França;ESTADO CIVIL;Divorciado;1102;;7,67%;
França;ESTADO CIVIL;Viúvo;398;;2,77%;
França;UNIÃO DE FACTO;Vive em união de facto;1839;;;População com 15+ anos
França;UNIÃO DE FACTO;Não vive em união de facto;6208;;;População com 15+ anos
França;NÍVEL DE ENSINO (15-64 anos);Total População 15-64;11233;;100,00%;
França;NÍVEL DE ENSINO (15-64 anos);Inferior ao básico 3º ciclo;2884;;25,67%;
França;NÍVEL DE ENSINO (15-64 anos);Básico 3º ciclo;2924;;26,03%;
França;NÍVEL DE ENSINO (15-64 anos);Secundário e pós-secundário;2930;;26,08%;
França;NÍVEL DE ENSINO (15-64 anos);Superior;2495;;22,21%;
França;MEIO DE VIDA (15+ anos);Total População 15+;12481;;100,00%;
França;MEIO DE VIDA (15+ anos);Trabalho;6945;;55,64%;
França;MEIO DE VIDA (15+ anos);Cargo da família;2200;;17,70%;
França;MEIO DE VIDA (15+ anos);Subsídio de desemprego;418;;3,35%;
França;MEIO DE VIDA (15+ anos);Outro;824;;6,60%;
França;MEIO DE VIDA (15+ anos);Reforma/Pensão;1822;;14,60%;
França;MEIO DE VIDA (15+ anos);Outros subsídios temporários;263;;2,11%;
França;ATIVIDADE ECONÔMICA;Total População;14360;;100,00%;
França;ATIVIDADE ECONÔMICA;Ativa;7912;;55,10%;
França;ATIVIDADE ECONÔMICA;Empregada;6893;;48,00%;
França;ATIVIDADE ECONÔMICA;Desempregada;1019;;7,10%;
França;ATIVIDADE ECONÔMICA;Inativa;6448;;44,90%;
França;ATIVIDADE ECONÔMICA;<15 anos;1879;;13,08%;
França;ATIVIDADE ECONÔMICA;Estudantes;985;;6,86%;
França;ATIVIDADE ECONÔMICA;Domésticos;693;;4,83%;
França;ATIVIDADE ECONÔMICA;Outra situação;1153;;8,03%;
França;ATIVIDADE ECONÔMICA;Reformados;1738;;12,10%;
França;PROFISSÕES (Empregados);Total Empregados;6893;;100,00%;
França;PROFISSÕES (Empregados);Vendedores em lojas;820;;11,90%;
França;PROFISSÕES (Empregados);Empregado escritório geral;311;;4,51%;
França;PROFISSÕES (Empregados);Trab. qualif. construção;233;;3,38%;
França;RAMOS DE ATIVIDADE;Total Empregados;6893;;100,00%;
França;RAMOS DE ATIVIDADE;Comércio a retalho;990;;14,36%;
França;RAMOS DE ATIVIDADE;Educação;517;;7,50%;
França;RAMOS DE ATIVIDADE;Construção/ Promoção imobiliária;417;;6,05%;
França;REALIGIÃO (15+ anos);Total População 15+;12481;;100,00%;
França;REALIGIÃO (15+ anos);Católica;9042;;72,45%;
França;REALIGIÃO (15+ anos);Sem religião;1591;;12,75%;
França;REALIGIÃO (15+ anos);Outra cristã;176;;1,41%;
