Nacionalidade;Categoria;Subcategoria;Dados 2011;Dados 2001;Percentagem (2011);Notas
Guiné-Bissau;POPULAÇÃO RESIDENTE;Total;16360;15824;100,00%;
Guiné-Bissau;POPULAÇÃO RESIDENTE;Homens;9162;9920;56,00%;
Guiné-Bissau;POPULAÇÃO RESIDENTE;Mulheres;7198;5904;44,00%;
Guiné-Bissau;POPULAÇÃO RESIDENTE;Idade média;28,3 anos;;;
Guiné-Bissau;MUNICÍPIOS (Top 5);Sintra;4282;;26,17%;
Guiné-Bissau;MUNICÍPIOS (Top 5);Loures;1818;;11,11%;
Guiné-Bissau;MUNICÍPIOS (Top 5);Amadora;1815;;11,09%;
Guiné-Bissau;MUNICÍPIOS (Top 5);Odivelas;1403;;8,58%;
Guiné-Bissau;MUNICÍPIOS (Top 5);Lisboa;1092;;6,67%;
Guiné-Bissau;ESTADO CIVIL;Solteiro;12784;;78,14%;
Guiné-Bissau;ESTADO CIVIL;Casado;3149;;19,25%;
Guiné-Bissau;ESTADO CIVIL;Divorciado;183;;1,12%;
Guiné-Bissau;ESTADO CIVIL;Viúvo;244;;1,49%;
Guiné-Bissau;UNIÃO DE FACTO;Vive em união de facto;2228;;;População com 15+ anos
Guiné-Bissau;UNIÃO DE FACTO;Não vive em união de facto;11255;;;População com 15+ anos
Guiné-Bissau;NÍVEL DE ENSINO (15-64 anos);Total População 15-64;14179;;100,00%;
Guiné-Bissau;NÍVEL DE ENSINO (15-64 anos);Inferior ao básico 3º ciclo;6318;;44,56%;
Guiné-Bissau;NÍVEL DE ENSINO (15-64 anos);Básico 3º ciclo;4540;;32,02%;
Guiné-Bissau;NÍVEL DE ENSINO (15-64 anos);Secundário e pós-secundário;2536;;17,89%;
Guiné-Bissau;NÍVEL DE ENSINO (15-64 anos);Superior;785;;5,54%;
Guiné-Bissau;MEIO DE VIDA (15+ anos);Total População 15+;14457;;100,00%;
Guiné-Bissau;MEIO DE VIDA (15+ anos);Trabalho;7348;;50,83%;
Guiné-Bissau;MEIO DE VIDA (15+ anos);Cargo da família;3990;;27,60%;
Guiné-Bissau;MEIO DE VIDA (15+ anos);Subsídio de desemprego;927;;6,41%;
Guiné-Bissau;MEIO DE VIDA (15+ anos);Outro;1414;;9,78%;
Guiné-Bissau;MEIO DE VIDA (15+ anos);Reforma/Pensão;218;;1,51%;
Guiné-Bissau;MEIO DE VIDA (15+ anos);Outros subsídios temporários;560;;3,87%;
Guiné-Bissau;ATIVIDADE ECONÔMICA;Total População;16360;;100,00%;
Guiné-Bissau;ATIVIDADE ECONÔMICA;Ativa;9952;;60,83%;
Guiné-Bissau;ATIVIDADE ECONÔMICA;Empregada;6722;;41,09%;
Guiné-Bissau;ATIVIDADE ECONÔMICA;Desempregada;3230;;19,74%;
Guiné-Bissau;ATIVIDADE ECONÔMICA;Inativa;6408;;39,17%;
Guiné-Bissau;ATIVIDADE ECONÔMICA;<15 anos;1903;;11,63%;
Guiné-Bissau;ATIVIDADE ECONÔMICA;Estudantes;1839;;11,24%;
Guiné-Bissau;ATIVIDADE ECONÔMICA;Domésticos;306;;1,87%;
Guiné-Bissau;ATIVIDADE ECONÔMICA;Outra situação;2134;;13,04%;
Guiné-Bissau;ATIVIDADE ECONÔMICA;Reformados;226;;1,38%;
Guiné-Bissau;PROFISSÕES (Empregados);Total Empregados;6722;;100,00%;
Guiné-Bissau;PROFISSÕES (Empregados);Limpeza (casas, hotéis, escritórios);1532;;22,80%;
Guiné-Bissau;PROFISSÕES (Empregados);Trab. qualif. construção;1298;;19,31%;
Guiné-Bissau;PROFISSÕES (Empregados);Trab. não qualif. construção;605;;9,00%;
Guiné-Bissau;RAMOS DE ATIVIDADE;Total Empregados;6722;;100,00%;
Guiné-Bissau;RAMOS DE ATIVIDADE;Construção/ Promoção imobiliária;2198;;32,70%;
Guiné-Bissau;RAMOS DE ATIVIDADE;Atividades edifícios, jardins;961;;14,30%;
Guiné-Bissau;RAMOS DE ATIVIDADE;Restauração e similares;638;;9,49%;
Guiné-Bissau;REALIGIÃO (15+ anos);Total População 15+;14457;;100,00%;
Guiné-Bissau;REALIGIÃO (15+ anos);Católica;6782;;46,91%;
Guiné-Bissau;REALIGIÃO (15+ anos);Muçulmana;4022;;27,82%;
Guiné-Bissau;REALIGIÃO (15+ anos);Sem religião;569;;3,94%;
