Nacionalidade;Categoria;Subcategoria;Dados 2011;Dados 2001;Percentagem (2011);Notas
Reino Unido;POPULAÇÃO RESIDENTE;Total;15774;8227;100,00%;
Reino Unido;POPULAÇÃO RESIDENTE;Homens;7891;4195;50,02%;
Reino Unido;POPULAÇÃO RESIDENTE;Mulheres;7883;4032;49,98%;
Reino Unido;POPULAÇÃO RESIDENTE;Idade média;52,7 anos;;;
Reino Unido;MUNICÍPIOS (Top 5);Lagos;1667;;10,57%;
Reino Unido;MUNICÍPIOS (Top 5);Loulé;1607;;10,19%;
Reino Unido;MUNICÍPIOS (Top 5);Silves;951;;6,03%;
Reino Unido;MUNICÍPIOS (Top 5);Albufeira;911;;5,78%;
Reino Unido;MUNICÍPIOS (Top 5);Cascais;842;;5,34%;
Reino Unido;ESTADO CIVIL;Solteiro;4676;;29,64%;
Reino Unido;ESTADO CIVIL;Casado;8813;;55,87%;
Reino Unido;ESTADO CIVIL;Divorciado;1475;;9,35%;
Reino Unido;ESTADO CIVIL;Viúvo;810;;5,14%;
Reino Unido;UNIÃO DE FACTO;Vive em união de facto;2101;;;População com 15+ anos
Reino Unido;UNIÃO DE FACTO;Não vive em união de facto;5115;;;População com 15+ anos
Reino Unido;NÍVEL DE ENSINO (45-66 anos);Total População 45-66;10052;;100,00%;
Reino Unido;NÍVEL DE ENSINO (45-66 anos);Inferior ao básico 3º ciclo;1718;;17,09%;
Reino Unido;NÍVEL DE ENSINO (45-66 anos);Básico 3º ciclo;1464;;14,56%;
Reino Unido;NÍVEL DE ENSINO (45-66 anos);Secundário e pós-secundário;4077;;40,56%;
Reino Unido;NÍVEL DE ENSINO (45-66 anos);Superior;2793;;27,79%;
Reino Unido;MEIO DE VIDA (15+ anos);Total População 15+;14206;;100,00%;
Reino Unido;MEIO DE VIDA (15+ anos);Trabalho;4244;;29,87%;
Reino Unido;MEIO DE VIDA (15+ anos);Cargo da família;1667;;11,73%;
Reino Unido;MEIO DE VIDA (15+ anos);Subsídio de desemprego;115;;0,81%;
Reino Unido;MEIO DE VIDA (15+ anos);Outro;1413;;9,95%;
Reino Unido;MEIO DE VIDA (15+ anos);Reforma/Pensão;6691;;47,10%;
Reino Unido;MEIO DE VIDA (15+ anos);Outros subsídios temporários;76;;0,53%;
Reino Unido;ATIVIDADE ECONÔMICA;Total População;15774;;100,00%;
Reino Unido;ATIVIDADE ECONÔMICA;Ativa;4660;;29,54%;
Reino Unido;ATIVIDADE ECONÔMICA;Empregada;4206;;26,66%;
Reino Unido;ATIVIDADE ECONÔMICA;Desempregada;454;;2,88%;
Reino Unido;ATIVIDADE ECONÔMICA;Inativa;11114;;70,46%;
Reino Unido;ATIVIDADE ECONÔMICA;<15 anos;1568;;9,94%;
Reino Unido;ATIVIDADE ECONÔMICA;Estudantes;499;;3,16%;
Reino Unido;ATIVIDADE ECONÔMICA;Domésticos;780;;4,94%;
Reino Unido;ATIVIDADE ECONÔMICA;Outra situação;1462;;9,27%;
Reino Unido;ATIVIDADE ECONÔMICA;Reformados;6805;;43,14%;
Reino Unido;PROFISSÕES (Empregados);Total Empregados;4206;;100,00%;
Reino Unido;PROFISSÕES (Empregados);Professor (2º, 3º ciclo, secundário);417;;9,91%;
Reino Unido;PROFISSÕES (Empregados);Diretor geral/gestor executivo;211;;5,02%;
Reino Unido;PROFISSÕES (Empregados);Vendedores em lojas;193;;4,59%;
Reino Unido;RAMOS DE ATIVIDADE;Total Empregados;4206;;100,00%;
Reino Unido;RAMOS DE ATIVIDADE;Educação;763;;18,14%;
Reino Unido;RAMOS DE ATIVIDADE;Restauração e similares;347;;8,25%;
Reino Unido;RAMOS DE ATIVIDADE;Comércio a retalho;280;;6,66%;
Reino Unido;REALIGIÃO (15+ anos);Total População 15+;14206;;100,00%;
Reino Unido;REALIGIÃO (15+ anos);Protestante;4148;;29,20%;
Reino Unido;REALIGIÃO (15+ anos);Católica;2232;;15,71%;
Reino Unido;REALIGIÃO (15+ anos);Sem religião;3860;;27,17%;
