Nacionalidade;Categoria;Subcategoria;Dados 2011;Dados 2001;Percentagem (2011);Notas
Roménia;POPULAÇÃO RESIDENTE;Total;24356;2661;100,00%;
Roménia;POPULAÇÃO RESIDENTE;Homens;12445;1976;51,10%;
Roménia;POPULAÇÃO RESIDENTE;Mulheres;11911;685;48,90%;
Roménia;POPULAÇÃO RESIDENTE;Idade média;29,1 anos;;;
Roménia;MUNICÍPIOS (Top 5);Loulé;1914;;7,86%;
Roménia;MUNICÍPIOS (Top 5);Sintra;1904;;7,82%;
Roménia;MUNICÍPIOS (Top 5);Lisboa;1530;;6,28%;
Roménia;MUNICÍPIOS (Top 5);Montijo;1114;;4,57%;
Roménia;MUNICÍPIOS (Top 5);Loures;981;;4,03%;
Roménia;ESTADO CIVIL;Solteiro;11233;;46,12%;
Roménia;ESTADO CIVIL;Casado;11748;;48,23%;
Roménia;ESTADO CIVIL;Divorciado;1080;;4,43%;
Roménia;ESTADO CIVIL;Viúvo;295;;1,21%;
Roménia;UNIÃO DE FACTO;Vive em união de facto;3697;;;População com 15+ anos
Roménia;UNIÃO DE FACTO;Não vive em união de facto;9272;;;População com 15+ anos
Roménia;NÍVEL DE ENSINO (15-64 anos);Total População 15-64;20300;;100,00%;
Roménia;NÍVEL DE ENSINO (15-64 anos);Inferior ao básico 3º ciclo;4436;;21,85%;
Roménia;NÍVEL DE ENSINO (15-64 anos);Básico 3º ciclo;5883;;28,98%;
Roménia;NÍVEL DE ENSINO (15-64 anos);Secundário e pós-secundário;8022;;39,52%;
Roménia;NÍVEL DE ENSINO (15-64 anos);Superior;1959;;9,65%;
Roménia;MEIO DE VIDA (15+ anos);Total População 15+;20300;;100,00%;
Roménia;MEIO DE VIDA (15+ anos);Trabalho;14089;;69,03%;
Roménia;MEIO DE VIDA (15+ anos);Cargo da família;3255;;15,97%;
Roménia;MEIO DE VIDA (15+ anos);Subsídio de desemprego;842;;4,13%;
Roménia;MEIO DE VIDA (15+ anos);Outro;1382;;6,78%;
Roménia;MEIO DE VIDA (15+ anos);Reforma/Pensão;128;;0,63%;
Roménia;MEIO DE VIDA (15+ anos);Outros subsídios temporários;704;;3,45%;
Roménia;ATIVIDADE ECONÔMICA;Total População;24356;;100,00%;
Roménia;ATIVIDADE ECONÔMICA;Ativa;16232;;66,64%;
Roménia;ATIVIDADE ECONÔMICA;Empregada;13558;;55,67%;
Roménia;ATIVIDADE ECONÔMICA;Desempregada;2674;;10,98%;
Roménia;ATIVIDADE ECONÔMICA;Inativa;8124;;33,36%;
Roménia;ATIVIDADE ECONÔMICA;<15 anos;3976;;16,32%;
Roménia;ATIVIDADE ECONÔMICA;Estudantes;817;;3,35%;
Roménia;ATIVIDADE ECONÔMICA;Domésticos;891;;3,66%;
Roménia;ATIVIDADE ECONÔMICA;Outra situação;2318;;9,52%;
Roménia;ATIVIDADE ECONÔMICA;Reformados;122;;0,50%;
Roménia;PROFISSÕES (Empregados);Total Empregados;13558;;100,00%;
Roménia;PROFISSÕES (Empregados);Limpeza (casas, hotéis, escritórios);2276;;16,79%;
Roménia;PROFISSÕES (Empregados);Trab. qualif. construção;1476;;10,89%;
Roménia;PROFISSÕES (Empregados);Trab. não qualif. agricultura;925;;6,82%;
Roménia;RAMOS DE ATIVIDADE;Total Empregados;13558;;100,00%;
Roménia;RAMOS DE ATIVIDADE;Construção/ Promoção imobiliária;2397;;17,68%;
Roménia;RAMOS DE ATIVIDADE;Agricultura, produção animal;2094;;15,44%;
Roménia;RAMOS DE ATIVIDADE;Atividades edifícios, jardins;1420;;10,47%;
Roménia;REALIGIÃO (15+ anos);Total População 15+;20380;;100,00%;
Roménia;REALIGIÃO (15+ anos);Ortodoxa;14400;;70,66%;
Roménia;REALIGIÃO (15+ anos);Católica;1431;;7,02%;
Roménia;REALIGIÃO (15+ anos);Outra cristã;779;;3,82%;
