Nacionalidade;Categoria;Subcategoria;Dados 2011;Dados 2001;Percentagem (2011);Notas
Ucrânia;POPULAÇÃO RESIDENTE;Total;33790;10793;100,00%;
Ucrânia;POPULAÇÃO RESIDENTE;Homens;17165;8784;50,80%;
Ucrânia;POPULAÇÃO RESIDENTE;Mulheres;16625;2009;49,20%;
Ucrânia;POPULAÇÃO RESIDENTE;Idade média;34,4 anos;;;
Ucrânia;MUNICÍPIOS (Top 5);Sintra;1725;;5,11%;
Ucrânia;MUNICÍPIOS (Top 5);Lisboa;1510;;4,47%;
Ucrânia;MUNICÍPIOS (Top 5);Albufeira;1193;;3,53%;
Ucrânia;MUNICÍPIOS (Top 5);Loulé;1026;;3,04%;
Ucrânia;MUNICÍPIOS (Top 5);Leiria;1020;;3,02%;
Ucrânia;ESTADO CIVIL;Solteiro;11795;;34,91%;
Ucrânia;ESTADO CIVIL;Casado;18905;;55,95%;
Ucrânia;ESTADO CIVIL;Divorciado;2482;;7,35%;
Ucrânia;ESTADO CIVIL;Viúvo;608;;1,80%;
Ucrânia;UNIÃO DE FACTO;Vive em união de facto;3748;;;População com 15+ anos
Ucrânia;UNIÃO DE FACTO;Não vive em união de facto;12897;;;População com 15+ anos
Ucrânia;NÍVEL DE ENSINO (15-64 anos);Total População 15-64;29109;;100,00%;
Ucrânia;NÍVEL DE ENSINO (15-64 anos);Inferior ao básico 3º ciclo;2818;;9,68%;
Ucrânia;NÍVEL DE ENSINO (15-64 anos);Básico 3º ciclo;5898;;20,26%;
Ucrânia;NÍVEL DE ENSINO (15-64 anos);Secundário e pós-secundário;13630;;46,82%;
Ucrânia;NÍVEL DE ENSINO (15-64 anos);Superior;6763;;23,23%;
Ucrânia;MEIO DE VIDA (15+ anos);Total População 15+;29252;;100,00%;
Ucrânia;MEIO DE VIDA (15+ anos);Trabalho;20783;;71,05%;
Ucrânia;MEIO DE VIDA (15+ anos);Cargo da família;4365;;14,92%;
Ucrânia;MEIO DE VIDA (15+ anos);Subsídio de desemprego;2276;;7,78%;
Ucrânia;MEIO DE VIDA (15+ anos);Outro;1189;;4,06%;
Ucrânia;MEIO DE VIDA (15+ anos);Reforma/Pensão;200;;0,68%;
Ucrânia;MEIO DE VIDA (15+ anos);Outros subsídios temporários;439;;1,50%;
Ucrânia;ATIVIDADE ECONÔMICA;Total População;33790;;100,00%;
Ucrânia;ATIVIDADE ECONÔMICA;Ativa;24074;;71,25%;
Ucrânia;ATIVIDADE ECONÔMICA;Empregada;20017;;59,24%;
Ucrânia;ATIVIDADE ECONÔMICA;Desempregada;4057;;12,01%;
Ucrânia;ATIVIDADE ECONÔMICA;Inativa;9716;;28,75%;
Ucrânia;ATIVIDADE ECONÔMICA;<15 anos;4538;;13,43%;
Ucrânia;ATIVIDADE ECONÔMICA;Estudantes;1786;;5,29%;
Ucrânia;ATIVIDADE ECONÔMICA;Domésticos;778;;2,30%;
Ucrânia;ATIVIDADE ECONÔMICA;Outra situação;2413;;7,14%;
Ucrânia;ATIVIDADE ECONÔMICA;Reformados;201;;0,59%;
Ucrânia;PROFISSÕES (Empregados);Total Empregados;20017;;100,00%;
Ucrânia;PROFISSÕES (Empregados);Limpeza (casas, hotéis, escritórios);3444;;17,21%;
Ucrânia;PROFISSÕES (Empregados);Trab. qualif. construção;1912;;9,55%;
Ucrânia;PROFISSÕES (Empregados);Motoristas veículos pesados;1285;;6,42%;
Ucrânia;RAMOS DE ATIVIDADE;Total Empregados;20017;;100,00%;
Ucrânia;RAMOS DE ATIVIDADE;Construção/ Promoção imobiliária;3057;;15,27%;
Ucrânia;RAMOS DE ATIVIDADE;Atividades edifícios, jardins;1706;;8,52%;
Ucrânia;RAMOS DE ATIVIDADE;Restauração e similares;1639;;8,19%;
Ucrânia;REALIGIÃO (15+ anos);Total População 15+;29252;;100,00%;
Ucrânia;REALIGIÃO (15+ anos);Ortodoxa;19330;;66,08%;
Ucrânia;REALIGIÃO (15+ anos);Católica;4124;;14,10%;
Ucrânia;REALIGIÃO (15+ anos);Sem religião;922;;3,15%;
