nome_nacionalidade_aima,nacionalidade_aima_id,nacionalidade_id
Afeganistão,1,
Albânia,2,
Alemanha,3,
Andorra,4,
Angola,5,
Anguilla,6,
Antígua e Barbuda,7,
Apátrida,8,
Argentina,9,
Argélia,10,
Arménia,11,
Arábia Saudita,12,
Austrália,13,
Azerbaijão,14,
Bahamas,15,
Bahrein,16,
Bangladesh,17,
Barbados,18,
Barém,19,
Belize,20,
Benim,21,
Benin,22,
Bermudas,23,
Bielorrússia,24,
Bolívia,25,
Botswana,26,
Brasil,27,
Brunei,28,
Bulgária,29,
Burkina Faso,30,
Burundi,31,
Butão,32,
Bélgica,33,
Bósnia Herzegovina,34,
Bósnia e Herzegovina,35,
Cabo Verde,36,
Camarões,37,
Cambodja,38,
Camboja,39,
Canadá,40,
Cazaquistão,41,
Chade,42,
Checoslováquia,43,
Chile,44,
China,45,
Chipre,46,
Colômbia,47,
Comores,48,
Congo,49,
Congo (Rep. Democrática),50,
Coreia do Sul,51,
Costa Rica,52,
Costa do Marfim,53,
Croácia,54,
Cuba,55,
Desconhecido,56,
Dinamarca,57,
Djibuti,58,
Dominica,59,
Egipto,60,
El Salvador,61,
Emiratos Árabes Unidos,62,
Equador,63,
Eritreia,64,
Eslováquia,65,
Eslovénia,66,
Espanha,67,
Estados Unidos América,68,
Estados Unidos da América,69,
Estónia,70,
Etiópia,71,
Fidji (Ilhas),72,
Filipinas,73,
Finlândia,74,
França,75,
Gabão,76,
Gana,77,
Geórgia,78,
Granada,79,
Grã-Bretanha (British Subject),80,
Grécia,81,
Guatemala,82,
Guiana,83,
Guiné,84,
Guiné Bissau,85,
Guiné Conacri,86,
Guiné Equatorial,87,
Guiné-Bissau,88,
Gâmbia,89,
Haiti,90,
Honduras,91,
Hong Kong,92,
Hong-Kong,93,
Hungria,94,
Ilhas Fiji,95,
Ilhas Marshall,96,
Ilhas Maurícias,97,
Ilhas Salomão,98,
Indonésia,99,
Iraque,100,
Irlanda,101,
Irão,102,
Islândia,103,
Israel,104,
Itália,105,
Iémen,106,
Jamaica,107,
Japão,108,
Jibuti,109,
Jordânia,110,
Jugoslávia,111,
Kiribati,112,
Kosovo,113,
Kuwait,114,
Laos,115,
Lesoto,116,
Letónia,117,
Libéria,118,
Liechtenstein,119,
Lituânia,120,
Luxemburgo,121,
Líbano,122,
Líbia,123,
Macau,124,
Macedónia,125,
Madagáscar,126,
Malawi,127,
Maldivas,128,
Mali,129,
Malta,130,
Malásia,131,
Marrocos,132,
Marshall (Ilhas),133,
Mauritânia,134,
Maurícias (Ilhas),135,
Moldávia,136,
Mongólia,137,
Montenegro,138,
Moçambique,139,
Myanmar,140,
Myanmar (Birmânia),141,
México,142,
Namíbia,143,
Nauru,144,
Nepal,145,
Nicarágua,146,
Nigéria,147,
Noruega,148,
Nova Zelândia,149,
Níger,150,
Oman,151,
Palau,152,
Palestina,153,
Panamá,154,
Papua-Nova Guiné,155,
Papuásia Nova Guiné,156,
Paquistão,157,
Paraguai,158,
Países Baixos,159,
Peru,160,
Polónia,161,
Qatar,162,
Quatar,163,
Quirguistão,164,
Quénia,165,
Reino Unido,166,
Reino Unido (British Subject),167,
Rep. Dem. Congo,168,
República Centro Africana,169,
República Centro-Africana,170,
República Checa,171,
República Dominicana,172,
República Eslovaca,173,
República centro-africana,174,
República da Coreia,175,
República do Congo,176,
República do Sudão,177,
Roménia,178,
Ruanda,179,
Rússia,180,
Samoa,181,
Santa Lúcia,182,
Senegal,183,
Serra Leoa,184,
Seychelles,185,
Singapura,186,
Somália,187,
Sri Lanka,188,
Suazilândia,189,
Sudão,190,
Sudão do Sul,191,
Suriname,192,
Suécia,193,
Suíça,194,
São Cristóvão e Nevis,195,
São Tomé Príncipe,196,
São Tomé e Príncipe,197,
São Vicente e Granadinas,198,
São Vicente e Grenadinas,199,
Sérvia,200,
Síria,201,
Tailândia,202,
Taiwan,203,
Tajiquistão,204,
Tanzânia,205,
Timor Leste,206,
Timor-Leste,207,
Togo,208,
Trindade e Tobago,209,
Tunísia,210,
Turquemenistão,211,
Turquia,212,
Ucrânia,213,
Uganda,214,
União das Comores,215,
Urss,216,
Uruguai,217,
Usbequistão,218,
Uzbequistão,219,
Vanuatu,220,
Venezuela,221,
Vietname,222,
Zimbabwe,223,
Zâmbia,224,
África do Sul,225,
Áustria,226,
Índia,227,
