ano,fonte,tipo_relatorio,codigo_despacho,concessoes
2020,RIFA,1,CR 0,34411
2020,RIFA,1,Artº 88 nº 2,25600
2020,RIFA,1,Artº 98 nº 2,16118
2020,RIFA,1,CR 15,9986
2020,RIFA,1,Artº 91 nº 1,6693
2020,RIFA,1,Artº 89 nº 2,2850
2020,RIFA,1,Artº 122 nº 1 k,2802
2020,RIFA,1,Artº 91 nº 4,2258
2020,RIFA,1,Artº 92 nº 3,2184
2020,RIFA,1,Artº 98 nº 2 ARI,1949
2021,RIFA,1,Artº 88 n.º 2,28.907
2021,RIFA,1,CR 0,27.304
2021,RIFA,1,Artº 98 n.º 2,12.352
2021,RIFA,1,CR 15,7.64
2021,RIFA,1,Artº 91 n.º 1,6.721
2021,RIFA,1,Artº 122 n.º 1 k,4.6
2021,RIFA,1,Artº 89 n.º 2,4.037
2021,RIFA,1,Artº 77,3.537
2021,RIFA,1,Artº 92 n.º 3,1.899
2021,RIFA,1,Artº 98 n.º 1,1.551
2022,RIFA,1,Artº 88 n.º 2,36590
2022,RIFA,1,CR 0,30897
2022,RIFA,1,Artº 98 n.º 2,16762
2022,RIFA,1,CR 15,10025
2022,RIFA,1,Artº 77,6947
2022,RIFA,1,Artº 89 n.º 2,5819
2022,RIFA,1,Artº 122 n.º 1 k,5420
2022,RIFA,1,Artº 91 n.º 1,5132
2022,RIFA,1,Artº 98 n.º 1,2583
2022,RIFA,1,Artº 92 n.º 3,2446
2022,RIFA,1,Outros,-
2023,RMA,1,Art.º 87A,149174
2023,RMA,1,CR 0,39118
2023,RMA,1,Art.º 88 n.º 2,32087
2023,RMA,1,CR 15,14526
2023,RMA,1,Art.º 98 n.º 2,12798
2023,RMA,1,Art.º 91 n.º 1,11077
2023,RMA,1,Art.º 88 n.º 1,8364
2023,RMA,1,Art.º 98 n.º 1,7248
2023,RMA,1,Art.º 77 n.º 1,5988
2023,RMA,1,Art.º 92 n.º 3,5531
2023,RMA,1,Art.º 122 n.º 1 k,4648
2023,RMA,1,Art.º 89 n.º 2,3492
