ano,fonte,motivo_raw,nacionalidade_aima_raw,total_motivo
2020,RIFA,Reagrupamento Familiar,Angola,2062
2020,RIFA,Reagrupamento Familiar,Nepal,1599
2020,RIFA,Reagrupamento Familiar,Brasil,19855
2020,RIFA,Reagrupamento Familiar,Reino Unido,0
2020,RIFA,Reagrupamento Familiar,Índia,1356
2020,RIFA,Reagrupamento Familiar,Guiné-Bissau,1064
2020,RIFA,Reagrupamento Familiar,Espanha,0
2020,RIFA,Reagrupamento Familiar,Itália,0
2020,RIFA,Reagrupamento Familiar,Cabo Verde,1373
2020,RIFA,Reagrupamento Familiar,França,0
2020,RIFA,Atividade Profissional,Angola,512
2020,RIFA,Atividade Profissional,Nepal,2235
2020,RIFA,Atividade Profissional,Brasil,15335
2020,RIFA,Atividade Profissional,Reino Unido,0
2020,RIFA,Atividade Profissional,Índia,5551
2020,RIFA,Atividade Profissional,Guiné-Bissau,486
2020,RIFA,Atividade Profissional,Espanha,0
2020,RIFA,Atividade Profissional,Itália,0
2020,RIFA,Atividade Profissional,Cabo Verde,693
2020,RIFA,Atividade Profissional,França,0
2020,RIFA,Estudo,Angola,1705
2020,RIFA,Estudo,Nepal,12
2020,RIFA,Estudo,Brasil,5407
2020,RIFA,Estudo,Reino Unido,0
2020,RIFA,Estudo,Índia,79
2020,RIFA,Estudo,Guiné-Bissau,1290
2020,RIFA,Estudo,Espanha,0
2020,RIFA,Estudo,Itália,0
2020,RIFA,Estudo,Cabo Verde,1913
2020,RIFA,Estudo,França,0
2020,RIFA,CRs,Angola,0
2020,RIFA,CRs,Nepal,0
2020,RIFA,CRs,Brasil,1
2020,RIFA,CRs,Reino Unido,13154
2020,RIFA,CRs,Índia,0
2020,RIFA,CRs,Guiné-Bissau,0
2020,RIFA,CRs,Espanha,2837
2020,RIFA,CRs,Itália,4479
2020,RIFA,CRs,Cabo Verde,2
2020,RIFA,CRs,França,4072
2020,RIFA,Outros Motivos,Angola,555
2020,RIFA,Outros Motivos,Nepal,35
