ano,fonte,tipo_relatorio,nacionalidade_aima_raw,sexo_raw,quantidade
2020,RIFA,1,Afeganistão,M,20
2020,RIFA,1,África do Sul,M,187
2020,RIFA,1,Albânia,M,17
2020,RIFA,1,Alemanha,M,1352
2020,RIFA,1,Andorra,M,1
2020,RIFA,1,Angola,M,2056
2020,RIFA,1,Antígua e Barbuda,M,4
2020,RIFA,1,Apátrida,M,1
2020,RIFA,1,Arábia Saudita,M,11
2020,RIFA,1,Argélia,M,109
2020,RIFA,1,Argentina,M,70
2020,RIFA,1,Arménia,M,6
2020,RIFA,1,Austrália,M,49
2020,RIFA,1,Áustria,M,99
2020,RIFA,1,Azerbaijão,M,14
2020,RIFA,1,Bahamas,M,0
2020,RIFA,1,Bahrein,M,2
2020,RIFA,1,Bangladesh,M,1582
2020,RIFA,1,Barbados,M,1
2020,RIFA,1,Bélgica,M,433
2020,RIFA,1,Belize,M,0
2020,RIFA,1,Benin,M,0
2020,RIFA,1,Bermudas,M,0
2020,RIFA,1,Bielorrússia,M,13
2020,RIFA,1,Bolívia,M,9
2020,RIFA,1,Bósnia e Herzegovina,M,3
2020,RIFA,1,Botswana,M,1
2020,RIFA,1,Brasil,M,20202
2020,RIFA,1,Brunei,M,1
2020,RIFA,1,Bulgária,M,97
2020,RIFA,1,Burkina Faso,M,1
2020,RIFA,1,Burundi,M,2
2020,RIFA,1,Butão,M,1
2020,RIFA,1,Cabo Verde,M,1946
2020,RIFA,1,Camarões,M,30
2020,RIFA,1,Cambodja,M,11
2020,RIFA,1,Canadá,M,91
2020,RIFA,1,Cazaquistão,M,51
2020,RIFA,1,Chade,M,0
2020,RIFA,1,Chile,M,40
2020,RIFA,1,China,M,628
2020,RIFA,1,Chipre,M,14
2020,RIFA,1,Colômbia,M,137
2020,RIFA,1,Comores,M,0
2020,RIFA,1,Congo,M,2
2020,RIFA,1,Congo (Rep. Democrática),M,6
2020,RIFA,1,Coreia do Sul,M,29
2020,RIFA,1,Costa do Marfim,M,15
2020,RIFA,1,Costa Rica,M,8
2020,RIFA,1,Croácia,M,33
2020,RIFA,1,Cuba,M,62
2020,RIFA,1,Desconhecido,M,4
2020,RIFA,1,Dinamarca,M,145
2020,RIFA,1,Djibuti,M,0
2020,RIFA,1,Dominica,M,7
2020,RIFA,1,Egipto,M,67
2020,RIFA,1,El Salvador,M,2
2020,RIFA,1,Emiratos Árabes Unidos,M,7
2020,RIFA,1,Equador,M,48
2020,RIFA,1,Eritreia,M,0
2020,RIFA,1,Eslováquia,M,16
2020,RIFA,1,Eslovénia,M,17
2020,RIFA,1,Espanha,M,1476
2020,RIFA,1,Estados Unidos da América,M,567
2020,RIFA,1,Estónia,M,21
2020,RIFA,1,Etiópia,M,5
2020,RIFA,1,Fidji (Ilhas),M,0
2020,RIFA,1,Filipinas,M,39
2020,RIFA,1,Finlândia,M,80
2020,RIFA,1,França,M,2116
2020,RIFA,1,Gabão,M,0
2020,RIFA,1,Gâmbia,M,65
2020,RIFA,1,Gana,M,26
2020,RIFA,1,Geórgia,M,19
2020,RIFA,1,Granada,M,0
2020,RIFA,1,Grécia,M,53
