localidade_id,nome_localidade,nivel_administrativo,codigo_regiao
1,Portugal,País,OUTRO
2,Continente,NUTS I,OUTRO
3,Norte,NUTS I,N
4,Alto Minho,Município,OUTRO
5,Arcos de Valdevez,Município,OUTRO
6,Caminha,Município,OUTRO
7,Melgaço,Município,OUTRO
8,Monção,Município,OUTRO
9,Paredes de Coura,Município,OUTRO
10,Ponte da Barca,Município,OUTRO
11,Ponte de Lima,Município,OUTRO
12,Valença,Município,OUTRO
13,Viana do Castelo,Município,OUTRO
14,Vila Nova de Cerveira,Município,OUTRO
15,Cávado,Município,OUTRO
16,Amares,Município,OUTRO
17,Barcelos,Município,OUTRO
18,Braga,Município,OUTRO
19,Esposende,Município,OUTRO
20,Terras de Bouro,Município,OUTRO
21,Vila Verde,Município,OUTRO
22,Ave,Município,OUTRO
23,Cabeceiras de Basto,Município,OUTRO
24,Fafe,Município,OUTRO
25,Guimarães,Município,OUTRO
26,Mondim de Basto,Município,OUTRO
27,Póvoa de Lanhoso,Município,OUTRO
28,Vieira do Minho,Município,OUTRO
29,Vila Nova de Famalicão,Município,OUTRO
30,Vizela,Município,OUTRO
31,Área Metropolitana do Porto,Município,OUTRO
32,Arouca,Município,OUTRO
33,Espinho,Município,OUTRO
34,Gondomar,Município,OUTRO
35,Maia,Município,OUTRO
36,Matosinhos,Município,OUTRO
37,Oliveira de Azeméis,Município,OUTRO
38,Paredes,Município,OUTRO
39,Porto,Município,OUTRO
40,Póvoa de Varzim,Município,OUTRO
41,Santa Maria da Feira,Município,OUTRO
42,Santo Tirso,Município,OUTRO
43,São João da Madeira,NUTS I,MD
44,Trofa,Município,OUTRO
45,Vale de Cambra,Município,OUTRO
46,Valongo,Município,OUTRO
47,Vila do Conde,Município,OUTRO
48,Vila Nova de Gaia,Município,OUTRO
49,Alto Tâmega,Município,OUTRO
50,Boticas,Município,OUTRO
51,Chaves,Município,OUTRO
52,Montalegre,Município,OUTRO
53,Ribeira de Pena,Município,OUTRO
54,Valpaços,Município,OUTRO
55,Vila Pouca de Aguiar,Município,OUTRO
56,Tâmega e Sousa,Município,OUTRO
57,Amarante,Município,OUTRO
58,Baião,Município,OUTRO
59,Castelo de Paiva,Município,OUTRO
60,Celorico de Basto,Município,OUTRO
61,Cinfães,Município,OUTRO
62,Felgueiras,Município,OUTRO
63,Lousada,Município,OUTRO
64,Marco de Canaveses,Município,OUTRO
65,Paços de Ferreira,Município,OUTRO
66,Penafiel,Município,OUTRO
67,Resende,Município,OUTRO
68,Douro,Município,OUTRO
69,Alijó,Município,OUTRO
70,Armamar,Município,OUTRO
71,Carrazeda de Ansiães,Município,OUTRO
72,Freixo de Espada à Cinta,Município,OUTRO
73,Lamego,Município,OUTRO
74,Mesão Frio,Município,OUTRO
75,Moimenta da Beira,Município,OUTRO
76,Murça,Município,OUTRO
77,Penedono,Município,OUTRO
78,Peso da Régua,Município,OUTRO
79,Sabrosa,Município,OUTRO
80,Santa Marta de Penaguião,Município,OUTRO
81,São João da Pesqueira,Município,OUTRO
82,Sernancelhe,Município,OUTRO
83,Tabuaço,Município,OUTRO
84,Tarouca,Município,OUTRO
85,Torre de Moncorvo,Município,OUTRO
86,Vila Nova de Foz Côa,Município,OUTRO
