distribuicao_geo_id,localidade_id,nacionalidade_id,populacao_nacional_local,concentracao_relativa,dominio_regional
1,1,4,199810,36.85,Alto
2,1,2,31556,5.82,Médio
3,1,5,27144,5.01,Médio
4,1,15,24609,4.54,Baixo
5,1,18,21199,3.91,Baixo
6,1,8,19064,3.52,Baixo
7,1,6,16631,3.07,Baixo
8,1,9,15298,2.82,Baixo
9,1,19,14130,2.61,Baixo
10,1,10,13829,2.55,Baixo
11,1,13,13224,2.44,Baixo
12,1,7,12811,2.36,Baixo
13,1,1,11193,2.06,Baixo
14,1,17,10024,1.85,Baixo
15,2,4,198499,37.33,Alto
16,2,2,31440,5.91,Médio
17,2,5,26990,5.08,Médio
18,2,15,23549,4.43,Baixo
19,2,18,20982,3.95,Baixo
20,2,8,18724,3.52,Baixo
21,2,6,16258,3.06,Baixo
22,2,9,15265,2.87,Baixo
23,2,19,14104,2.65,Baixo
24,2,10,13417,2.52,Baixo
25,2,13,13186,2.48,Baixo
26,2,7,12524,2.36,Baixo
27,2,1,10353,1.95,Baixo
28,2,17,9963,1.87,Baixo
29,3,4,48479,52.26,Alto
30,3,2,4302,4.64,Baixo
31,3,5,1867,2.01,Baixo
32,3,15,1387,1.5,Baixo
33,3,18,2623,2.83,Baixo
34,3,8,3980,4.29,Baixo
35,3,6,3592,3.87,Baixo
36,3,9,659,0.71,Baixo
37,3,19,1143,1.23,Baixo
38,3,10,2586,2.79,Baixo
39,3,13,463,0.5,Baixo
40,3,7,3688,3.98,Baixo
41,3,1,1512,1.63,Baixo
42,3,17,748,0.81,Baixo
43,4,4,3101,44.61,Alto
44,4,2,122,1.75,Baixo
45,4,5,101,1.45,Baixo
46,4,15,198,2.85,Baixo
47,4,18,142,2.04,Baixo
48,4,8,520,7.48,Médio
49,4,6,164,2.36,Baixo
50,4,9,19,0.27,Baixo
51,4,19,226,3.25,Baixo
52,4,10,154,2.22,Baixo
53,4,13,35,0.5,Baixo
54,4,7,618,8.89,Médio
55,4,1,101,1.45,Baixo
56,4,17,100,1.44,Baixo
57,5,4,113,26.28,Alto
58,5,2,7,1.63,Baixo
59,5,5,24,5.58,Médio
60,5,15,27,6.28,Médio
61,5,18,5,1.16,Baixo
62,5,8,50,11.63,Alto
63,5,6,13,3.02,Baixo
64,5,9,1,0.23,Baixo
65,5,10,13,3.02,Baixo
66,5,7,40,9.3,Médio
67,5,1,6,1.4,Baixo
68,5,17,9,2.09,Baixo
69,6,4,170,31.72,Alto
70,6,2,16,2.99,Baixo
71,6,5,22,4.1,Baixo
72,6,15,24,4.48,Baixo
73,6,18,6,1.12,Baixo
74,6,8,59,11.01,Alto
75,6,6,17,3.17,Baixo
76,6,19,10,1.87,Baixo
77,6,10,14,2.61,Baixo
78,6,7,72,13.43,Alto
79,6,1,13,2.43,Baixo
80,6,17,2,0.37,Baixo
81,7,4,84,46.15,Alto
82,7,2,2,1.1,Baixo
83,7,15,3,1.65,Baixo
84,7,18,3,1.65,Baixo
85,7,8,21,11.54,Alto
86,7,6,3,1.65,Baixo
87,7,19,4,2.2,Baixo
88,7,10,1,0.55,Baixo
89,7,7,31,17.03,Alto
90,8,4,396,51.3,Alto
91,8,2,14,1.81,Baixo
92,8,5,1,0.13,Baixo
93,8,15,19,2.46,Baixo
94,8,18,26,3.37,Baixo
95,8,8,60,7.77,Médio
96,8,6,21,2.72,Baixo
97,8,19,1,0.13,Baixo
98,8,10,9,1.17,Baixo
99,8,7,121,15.67,Alto
100,8,1,2,0.26,Baixo
101,8,17,3,0.39,Baixo
102,9,4,59,31.22,Alto
103,9,2,4,2.12,Baixo
104,9,15,8,4.23,Baixo
105,9,8,22,11.64,Alto
106,9,6,3,1.59,Baixo
107,9,9,1,0.53,Baixo
108,9,19,1,0.53,Baixo
109,9,10,1,0.53,Baixo
110,9,7,25,13.23,Alto
111,9,1,2,1.06,Baixo
112,9,17,5,2.65,Baixo
113,10,4,64,30.05,Alto
114,10,2,2,0.94,Baixo
115,10,5,3,1.41,Baixo
116,10,15,16,7.51,Médio
117,10,8,48,22.54,Alto
118,10,6,8,3.76,Baixo
119,10,9,3,1.41,Baixo
120,10,10,1,0.47,Baixo
121,10,7,11,5.16,Médio
122,10,1,9,4.23,Baixo
123,10,17,8,3.76,Baixo
124,11,4,234,37.68,Alto
125,11,2,10,1.61,Baixo
126,11,5,4,0.64,Baixo
127,11,15,26,4.19,Baixo
128,11,18,7,1.13,Baixo
129,11,8,67,10.79,Alto
130,11,6,20,3.22,Baixo
131,11,9,6,0.97,Baixo
132,11,19,27,4.35,Baixo
133,11,10,17,2.74,Baixo
134,11,7,41,6.6,Médio
135,11,1,14,2.25,Baixo
136,11,17,2,0.32,Baixo
137,12,4,542,57.17,Alto
138,12,2,6,0.63,Baixo
139,12,5,13,1.37,Baixo
140,12,15,12,1.27,Baixo
141,12,18,18,1.9,Baixo
142,12,8,28,2.95,Baixo
143,12,6,16,1.69,Baixo
144,12,19,25,2.64,Baixo
145,12,10,12,1.27,Baixo
146,12,7,133,14.03,Alto
147,12,1,9,0.95,Baixo
148,12,17,5,0.53,Baixo
149,13,4,1285,51.61,Alto
150,13,2,53,2.13,Baixo
151,13,5,30,1.2,Baixo
152,13,15,39,1.57,Baixo
153,13,18,66,2.65,Baixo
154,13,8,135,5.42,Médio
155,13,6,51,2.05,Baixo
156,13,9,5,0.2,Baixo
157,13,19,32,1.29,Baixo
158,13,10,77,3.09,Baixo
159,13,13,22,0.88,Baixo
160,13,7,111,4.46,Baixo
161,13,1,43,1.73,Baixo
162,13,17,65,2.61,Baixo
163,14,4,154,26.97,Alto
164,14,2,8,1.4,Baixo
165,14,5,4,0.7,Baixo
166,14,15,24,4.2,Baixo
167,14,18,11,1.93,Baixo
168,14,8,30,5.25,Médio
169,14,6,12,2.1,Baixo
170,14,9,3,0.53,Baixo
171,14,19,126,22.07,Alto
172,14,10,9,1.58,Baixo
173,14,13,13,2.28,Baixo
174,14,7,33,5.78,Médio
175,14,1,3,0.53,Baixo
176,14,17,1,0.18,Baixo
177,15,4,9909,62.87,Alto
178,15,2,679,4.31,Baixo
179,15,5,187,1.19,Baixo
180,15,15,133,0.84,Baixo
181,15,18,381,2.42,Baixo
182,15,8,488,3.1,Baixo
183,15,6,334,2.12,Baixo
184,15,9,122,0.77,Baixo
185,15,19,96,0.61,Baixo
186,15,10,563,3.57,Baixo
187,15,13,51,0.32,Baixo
188,15,7,448,2.84,Baixo
189,15,1,160,1.02,Baixo
190,15,17,50,0.32,Baixo
191,16,4,236,54.76,Alto
192,16,2,19,4.41,Baixo
193,16,15,9,2.09,Baixo
194,16,18,5,1.16,Baixo
195,16,8,29,6.73,Médio
196,16,6,6,1.39,Baixo
197,16,10,7,1.62,Baixo
198,16,7,13,3.02,Baixo
199,16,1,2,0.46,Baixo
200,16,17,10,2.32,Baixo
201,17,4,1266,57.34,Alto
202,17,2,115,5.21,Médio
203,17,5,42,1.9,Baixo
204,17,15,30,1.36,Baixo
205,17,18,44,1.99,Baixo
206,17,8,85,3.85,Baixo
207,17,6,62,2.81,Baixo
208,17,9,8,0.36,Baixo
209,17,19,12,0.54,Baixo
210,17,10,73,3.31,Baixo
211,17,13,1,0.05,Baixo
212,17,7,60,2.72,Baixo
213,17,1,26,1.18,Baixo
214,17,17,8,0.36,Baixo
215,18,4,7444,65.99,Alto
216,18,2,475,4.21,Baixo
217,18,5,131,1.16,Baixo
218,18,15,61,0.54,Baixo
219,18,18,292,2.59,Baixo
220,18,8,205,1.82,Baixo
221,18,6,209,1.85,Baixo
222,18,9,113,1.0,Baixo
223,18,19,79,0.7,Baixo
224,18,10,417,3.7,Baixo
225,18,13,43,0.38,Baixo
226,18,7,295,2.62,Baixo
227,18,1,94,0.83,Baixo
228,18,17,29,0.26,Baixo
229,19,4,415,49.05,Alto
230,19,2,28,3.31,Baixo
231,19,5,5,0.59,Baixo
232,19,15,15,1.77,Baixo
233,19,18,21,2.48,Baixo
234,19,8,76,8.98,Médio
235,19,6,30,3.55,Baixo
236,19,9,1,0.12,Baixo
237,19,19,5,0.59,Baixo
238,19,10,38,4.49,Baixo
239,19,13,4,0.47,Baixo
240,19,7,45,5.32,Médio
241,19,1,9,1.06,Baixo
242,19,17,2,0.24,Baixo
243,20,4,29,30.21,Alto
244,20,2,2,2.08,Baixo
245,20,5,1,1.04,Baixo
246,20,15,6,6.25,Médio
247,20,8,14,14.58,Alto
248,20,6,2,2.08,Baixo
249,20,7,7,7.29,Médio
250,20,1,5,5.21,Médio
251,21,4,519,57.73,Alto
252,21,2,40,4.45,Baixo
253,21,5,8,0.89,Baixo
254,21,15,12,1.33,Baixo
255,21,18,19,2.11,Baixo
256,21,8,79,8.79,Médio
257,21,6,25,2.78,Baixo
258,21,10,28,3.11,Baixo
259,21,13,3,0.33,Baixo
260,21,7,28,3.11,Baixo
261,21,1,24,2.67,Baixo
262,21,17,1,0.11,Baixo
263,22,4,3423,51.53,Alto
264,22,2,225,3.39,Baixo
265,22,5,70,1.05,Baixo
266,22,15,72,1.08,Baixo
267,22,18,260,3.91,Baixo
268,22,8,445,6.7,Médio
269,22,6,273,4.11,Baixo
270,22,9,49,0.74,Baixo
271,22,19,181,2.72,Baixo
272,22,10,135,2.03,Baixo
273,22,13,82,1.23,Baixo
