estatistica_id,nacionalidade_id,populacao_total_educacao,sem_educacao,ensino_basico,ensino_secundario,ensino_superior,percentual_sem_educacao,percentual_ensino_basico,percentual_ensino_secundario,percentual_ensino_superior,ano_referencia
1,2,23055,8357,7988,4999,1711,36.25,34.65,21.68,7.42,2011
2,4,93545,24498,21132,38411,9504,26.19,22.59,41.06,10.16,2011
3,5,28167,18592,7960,544,1071,66.01,28.26,1.93,3.8,2011
4,6,9444,4255,2974,1846,369,45.06,31.49,19.55,3.91,2011
5,7,7178,1388,1138,1522,3130,19.34,15.85,21.2,43.61,2011
6,8,11233,2884,2924,2930,2495,25.67,26.03,26.08,22.21,2011
7,9,14179,6318,4540,2536,785,44.56,32.02,17.89,5.54,2011
8,15,10052,1718,1464,4077,2793,17.09,14.56,40.56,27.79,2011
9,20,8864,950,2571,3581,1762,10.72,29.0,40.4,19.88,2011
10,16,20300,4436,5883,8022,1959,21.85,28.98,39.52,9.65,2011
11,17,8649,3571,3342,1403,333,41.29,38.64,16.22,3.85,2011
12,18,29109,2818,5898,13630,6763,9.68,20.26,46.82,23.23,2011
13,14,6588239,165993,2768370,2066338,1587538,2.52,42.02,31.36,24.1,2021
14,12,6157391,127470,2651280,1895544,1483097,2.07,43.06,30.78,24.09,2021
15,11,430729,38491,117060,170752,104426,8.94,27.18,39.64,24.24,2021
16,4,165683,10432,39379,75194,40678,6.3,23.77,45.38,24.55,2021
17,2,24135,1451,8121,9503,5060,6.01,33.65,39.37,20.97,2021
18,5,22113,1669,10796,7798,1850,7.55,48.82,35.26,8.37,2021
19,15,13704,2948,1439,4933,4384,21.51,10.5,36.0,31.99,2021
20,18,18168,1725,3972,8563,3908,9.49,21.86,47.13,21.51,2021
21,8,11339,1321,2097,3563,4358,11.65,18.49,31.42,38.43,2021
22,6,13427,1617,6785,3599,1426,12.04,50.53,26.8,10.62,2021
23,9,13184,1021,5562,5108,1493,7.74,42.19,38.74,11.32,2021
24,19,12864,2178,3947,5030,1709,16.93,30.68,39.1,13.29,2021
25,16,12511,1134,4808,5251,1318,9.06,38.43,41.97,10.53,2021
26,10,9405,621,1078,2651,5055,6.6,11.46,28.19,53.75,2021
27,13,12215,2191,3171,5188,1665,17.94,25.96,42.47,13.63,2021
28,7,9274,451,1707,2304,4812,4.86,18.41,24.84,51.89,2021
29,1,7526,498,1159,2964,2905,6.62,15.4,39.38,38.6,2021
30,17,8360,436,4647,2719,558,5.22,55.59,32.52,6.67,2021
31,3,117,32,30,42,13,27.35,25.64,35.9,11.11,2021
