populacao_educacao_id,nacionalidade_id,nivel_educacao_id,populacao_total,ano_referencia,faixa_etaria,percentual_nivel
1,2.0,1,8357,2011,15-64 anos,0.0
2,2.0,2,7988,2011,15-64 anos,0.0
3,2.0,3,4999,2011,15-64 anos,0.0
4,2.0,4,1711,2011,15-64 anos,0.0
5,4.0,1,24498,2011,15-64 anos,0.0
6,4.0,2,21132,2011,15-64 anos,0.0
7,4.0,3,38411,2011,15-64 anos,0.0
8,4.0,4,9504,2011,15-64 anos,0.0
9,5.0,1,18592,2011,15-64 anos,0.0
10,5.0,2,7960,2011,15-64 anos,0.0
11,5.0,3,544,2011,15-64 anos,0.0
12,5.0,4,1071,2011,15-64 anos,0.0
13,7.0,1,1388,2011,15-64 anos,0.0
14,7.0,2,1138,2011,15-64 anos,0.0
15,7.0,3,1522,2011,15-64 anos,0.0
16,7.0,4,3130,2011,15-64 anos,0.0
17,15.0,1,1718,2011,15-64 anos,0.0
18,15.0,2,1464,2011,15-64 anos,0.0
19,15.0,3,4077,2011,15-64 anos,0.0
20,15.0,4,2793,2011,15-64 anos,0.0
21,16.0,1,4436,2011,15-64 anos,0.0
22,16.0,2,5883,2011,15-64 anos,0.0
23,16.0,3,8022,2011,15-64 anos,0.0
24,16.0,4,1959,2011,15-64 anos,0.0
25,17.0,1,3571,2011,15-64 anos,0.0
26,17.0,2,3342,2011,15-64 anos,0.0
27,17.0,3,1403,2011,15-64 anos,0.0
28,17.0,4,333,2011,15-64 anos,0.0
29,14.0,1,165993,2021,15-64 anos,2.52
30,14.0,2,663454,2021,15-64 anos,10.07
31,14.0,3,733773,2021,15-64 anos,11.14
32,14.0,4,1371143,2021,15-64 anos,20.81
33,14.0,5,2768370,2021,15-64 anos,42.02
34,14.0,6,2066338,2021,15-64 anos,31.36
35,14.0,7,1587538,2021,15-64 anos,24.1
36,12.0,1,127470,2021,15-64 anos,2.07
37,12.0,2,647969,2021,15-64 anos,10.52
38,12.0,3,708332,2021,15-64 anos,11.5
39,12.0,4,1294979,2021,15-64 anos,21.03
40,12.0,5,2651280,2021,15-64 anos,43.06
41,12.0,6,1895544,2021,15-64 anos,30.78
42,12.0,7,1483097,2021,15-64 anos,24.09
43,11.0,1,38491,2021,15-64 anos,8.94
44,11.0,2,15478,2021,15-64 anos,3.59
45,11.0,3,25438,2021,15-64 anos,5.91
46,11.0,4,76144,2021,15-64 anos,17.68
47,11.0,5,117060,2021,15-64 anos,27.18
