populacao_nacional_id,nacionalidade_id,populacao_id,populacao_total,masculino,feminino,percentagem_total
1,14,1,10343066,4920220,5422846,48.95
2,14,2,10562178,5046600,5515578,49.23
3,12,1,9800752,4654568,5146184,46.38
4,12,2,10167129,4858250,5308879,47.39
5,11,1,542165,265572,276593,2.57
6,11,2,394496,188086,206410,1.84
7,4,1,199810,89503,110307,0.95
8,4,2,109787,46249,63538,0.51
9,2,1,31556,13707,17849,0.15
10,2,2,26954,12749,14205,0.13
11,5,1,27144,12814,14330,0.13
12,5,2,38895,18537,20358,0.18
13,15,1,24609,12874,11735,0.12
14,15,2,15774,7891,7883,0.07
15,18,1,21199,9613,11586,0.1
16,18,2,33790,17165,16625,0.16
17,8,1,19064,9594,9470,0.09
18,8,2,14360,6644,7716,0.07
19,6,1,16631,8366,8265,0.08
20,6,2,11458,5943,5515,0.05
21,9,1,15298,7875,7423,0.07
22,9,2,16360,9162,7198,0.08
23,19,1,14130,10959,3171,0.07
24,19,2,3148,2144,1004,0.01
25,16,1,13837,6610,7227,0.07
26,16,2,24356,12445,11911,0.11
27,10,1,13829,7740,6089,0.07
28,10,2,3443,1935,1508,0.02
29,13,1,13224,8526,4698,0.06
30,13,2,959,710,249,0.0
31,7,1,12811,5909,6902,0.06
32,7,2,10486,4776,5710,0.05
33,1,1,11193,5682,5511,0.05
34,1,2,9238,4633,4605,0.04
35,17,1,10024,4375,5649,0.05
36,17,2,10408,4700,5708,0.05
37,3,1,149,80,69,0.0
38,3,2,553,284,269,0.0
