populacao_cond_id,populacao_id,nacionalidade_id,condicao_id,quantidade,percentual
1,1,14,1,10343066,0.0
2,1,14,2,4817978,0.0
3,1,14,3,4426461,0.0
4,1,14,4,391517,0.0
5,1,14,5,5525088,0.0
6,1,14,6,1331188,0.0
7,1,14,7,676812,0.0
8,1,14,8,304480,0.0
9,1,14,9,2383397,0.0
10,1,14,10,153395,0.0
11,1,14,11,675816,0.0
12,1,12,1,9800752,0.0
13,1,12,2,4517549,0.0
14,1,12,3,4162122,0.0
15,1,12,4,355427,0.0
16,1,12,5,5283203,0.0
17,1,12,6,1265808,0.0
18,1,12,7,640446,0.0
19,1,12,8,281972,0.0
20,1,12,9,2333831,0.0
21,1,12,10,148878,0.0
22,1,12,11,612268,0.0
23,1,11,1,542165,0.0
24,1,11,2,300356,0.0
25,1,11,3,264271,0.0
26,1,11,4,36085,0.0
27,1,11,5,241809,0.0
28,1,11,6,65363,0.0
29,1,11,7,36361,0.0
30,1,11,8,22497,0.0
31,1,11,9,49561,0.0
32,1,11,10,4516,0.0
33,1,11,11,63511,0.0
34,1,4,1,199810,0.0
35,1,4,2,123688,0.0
36,1,4,3,107638,0.0
37,1,4,4,16050,0.0
38,1,4,5,76122,0.0
39,1,4,6,29112,0.0
40,1,4,7,13878,0.0
41,1,4,8,9119,0.0
42,1,4,9,5600,0.0
43,1,4,10,684,0.0
44,1,4,11,17729,0.0
45,1,2,1,31556,0.0
46,1,2,2,14542,0.0
47,1,2,3,11746,0.0
48,1,2,4,2796,0.0
49,1,2,5,17014,0.0
50,1,2,6,5416,0.0
51,1,2,7,4310,0.0
52,1,2,8,1041,0.0
53,1,2,9,1692,0.0
54,1,2,10,522,0.0
55,1,2,11,4033,0.0
56,1,5,1,27144,0.0
57,1,5,2,15207,0.0
58,1,5,3,12869,0.0
59,1,5,4,2338,0.0
60,1,5,5,11937,0.0
61,1,5,6,2186,0.0
62,1,5,7,2951,0.0
63,1,5,8,464,0.0
64,1,5,9,2122,0.0
65,1,5,10,703,0.0
66,1,5,11,3511,0.0
67,1,15,1,24609,0.0
68,1,15,2,6346,0.0
69,1,15,3,5918,0.0
70,1,15,4,428,0.0
71,1,15,5,18263,0.0
72,1,15,6,2072,0.0
73,1,15,7,553,0.0
74,1,15,8,1036,0.0
75,1,15,9,11610,0.0
76,1,15,10,129,0.0
77,1,15,11,2863,0.0
78,1,18,1,21199,0.0
79,1,18,2,14235,0.0
80,1,18,3,12627,0.0
81,1,18,4,1608,0.0
82,1,18,5,6964,0.0
83,1,18,6,1904,0.0
84,1,18,7,720,0.0
85,1,18,8,624,0.0
86,1,18,9,750,0.0
87,1,18,10,232,0.0
88,1,18,11,2734,0.0
89,1,8,1,19064,0.0
90,1,8,2,6354,0.0
91,1,8,3,5922,0.0
92,1,8,4,432,0.0
93,1,8,5,12710,0.0
94,1,8,6,1973,0.0
95,1,8,7,886,0.0
96,1,8,8,671,0.0
97,1,8,9,6421,0.0
98,1,8,10,180,0.0
99,1,8,11,2579,0.0
100,1,6,1,16631,0.0
101,1,6,2,8894,0.0
102,1,6,3,8711,0.0
103,1,6,4,183,0.0
104,1,6,5,7737,0.0
105,1,6,6,2667,0.0
106,1,6,7,1329,0.0
107,1,6,8,923,0.0
108,1,6,9,482,0.0
109,1,6,10,48,0.0
110,1,6,11,2288,0.0
111,1,9,1,15298,0.0
112,1,9,2,8253,0.0
113,1,9,3,6656,0.0
114,1,9,4,1597,0.0
115,1,9,5,7045,0.0
116,1,9,6,1667,0.0
117,1,9,7,2159,0.0
118,1,9,8,279,0.0
119,1,9,9,260,0.0
120,1,9,10,341,0.0
121,1,9,11,2339,0.0
122,1,19,1,14130,0.0
123,1,19,2,10029,0.0
124,1,19,3,9350,0.0
125,1,19,4,679,0.0
126,1,19,5,4101,0.0
127,1,19,6,1106,0.0
128,1,19,7,260,0.0
129,1,19,8,719,0.0
130,1,19,9,108,0.0
131,1,19,10,73,0.0
132,1,19,11,1835,0.0
133,1,16,1,13837,0.0
134,1,16,2,9501,0.0
135,1,16,3,8608,0.0
136,1,16,4,893,0.0
137,1,16,5,4336,0.0
138,1,16,6,1075,0.0
139,1,16,7,692,0.0
140,1,16,8,474,0.0
141,1,16,9,232,0.0
142,1,16,10,148,0.0
143,1,16,11,1715,0.0
144,1,10,1,13829,0.0
145,1,10,2,6496,0.0
146,1,10,3,5971,0.0
147,1,10,4,525,0.0
148,1,10,5,7333,0.0
149,1,10,6,1409,0.0
150,1,10,7,750,0.0
151,1,10,8,508,0.0
152,1,10,9,2969,0.0
153,1,10,10,48,0.0
154,1,10,11,1649,0.0
155,1,13,1,13224,0.0
156,1,13,2,9374,0.0
157,1,13,3,8312,0.0
158,1,13,4,1062,0.0
159,1,13,5,3850,0.0
160,1,13,6,939,0.0
161,1,13,7,331,0.0
162,1,13,8,465,0.0
163,1,13,9,29,0.0
164,1,13,10,47,0.0
165,1,13,11,2039,0.0
166,1,7,1,12811,0.0
167,1,7,2,6761,0.0
168,1,7,3,6266,0.0
169,1,7,4,495,0.0
170,1,7,5,6050,0.0
171,1,7,6,1556,0.0
172,1,7,7,626,0.0
173,1,7,8,747,0.0
174,1,7,9,1765,0.0
175,1,7,10,73,0.0
176,1,7,11,1283,0.0
177,1,1,1,11193,0.0
178,1,1,2,4677,0.0
179,1,1,3,4418,0.0
180,1,1,4,259,0.0
181,1,1,5,6516,0.0
182,1,1,6,1001,0.0
183,1,1,7,482,0.0
184,1,1,8,509,0.0
185,1,1,9,2657,0.0
186,1,1,10,97,0.0
187,1,1,11,1770,0.0
188,1,17,1,10024,0.0
189,1,17,2,5206,0.0
190,1,17,3,4257,0.0
191,1,17,4,949,0.0
192,1,17,5,4818,0.0
193,1,17,6,1211,0.0
194,1,17,7,1653,0.0
195,1,17,8,158,0.0
196,1,17,9,247,0.0
197,1,17,10,239,0.0
198,1,17,11,1310,0.0
199,1,3,1,149,0.0
200,1,3,2,73,0.0
201,1,3,3,68,0.0
202,1,3,4,5,0.0
203,1,3,5,76,0.0
204,1,3,6,17,0.0
205,1,3,7,5,0.0
206,1,3,8,11,0.0
207,1,3,9,5,0.0
208,1,3,10,1,0.0
209,1,3,11,37,0.0
